Gene	BH1	BH2	BH3	BPH1	BPH2	BPH3	BPH4	BPH5	BPH6	HH1	HH2	HH3	HPH1	HPH2	HPH3	HPH4	HPH5	HPH6	SMH1	SMH2	SMH3	SMPH1	SMPH2	SMPH3	SMPH4	SMPH5	SMPH6
TNNT1	0.039243377	0.036074202	0	0.486680113	0.131354426	0	0.036591586	0.071691364	0.067750971	0.050076469	0	0	0.095750387	0.039290761	0.355275393	0	0.058133806	0	210.2404312	421.8898478	63.96352512	21.99173932	217.0453049	299.3500205	158.0900525	292.1813	899.3883916
ID2	11.57679613	15.2954616	9.95683908	21.61670834	20.03155002	19.94885999	17.52736968	17.74361254	15.41334597	11.01682324	5.292687376	8.755347218	12.59117591	12.53375273	18.5631393	9.681225482	5.52271157	8.172289977	4.53895281	5.987946004	7.604595322	3.395492965	3.5875257	3.715903885	0.939291903	4.165166977	1.592760458
INO80C	33.71006059	26.83920621	34.97474521	10.09861234	13.10260403	17.56181691	12.29477289	8.280352519	10.02714375	69.30583347	46.00227444	71.02652462	14.1710573	22.04211687	25.75746601	21.3217466	13.31264157	23.80441388	38.40404754	48.42425899	47.98229434	24.59758276	58.0526886	59.45446216	36.77689064	13.18395828	21.51674582
IFIT5	14.95172653	8.802105262	13.22785842	24.94235578	4.860113775	3.546463998	1.939354057	2.401660687	3.760178906	7.411317452	6.483542036	8.361848466	35.76276961	9.272619573	12.16818222	6.627029348	5.464577764	5.657739215	1.03011695	0.553234142	1.930100335	3.040150678	0.6522774	1.118766761	0.505772563	0.275382941	0.810859869
FBXO27	2.629306239	2.056229508	1.797263372	3.082307381	3.283860659	1.568628307	4.061666043	1.828129777	1.86315171	5.207952804	7.453868055	8.460223154	7.372779812	16.34495654	7.238736138	14.11845383	7.55739478	11.44120597	1.448601961	1.562072871	4.014608698	2.724290867	5.829729263	2.796916903	3.32364827	2.306332128	2.780090981
Pvit_00052	32.21881228	15.43975841	68.36789866	20.11611133	25.71262896	45.66072398	33.1519769	23.26384755	60.63711929	59.59099843	40.66548134	86.27460123	47.58794242	55.16422831	53.42453726	56.99245239	57.55246794	60.1396724	180.1738928	77.84329806	122.0595452	164.4050315	216.8007008	257.5161348	298.3696855	207.6043144	178.360212
JPH1	16.79616523	9.667886107	40.69004274	8.233005242	8.078297221	18.27792984	8.891755392	8.029432746	21.44318241	26.94114047	24.43457339	22.18349211	14.79343482	11.27644838	20.0286503	14.06082749	11.6267612	14.66821278	86.20791224	49.98633186	68.90458198	72.80568636	110.9279253	115.6724919	109.6803929	91.59925063	85.92218688
GDAP1	62.08302195	41.62962898	59.99265135	55.40041951	56.67943497	63.22254089	73.5856794	75.34762336	76.25371817	0.300458816	0.176422913	0.491873439	1.149004646	0.550070653	0.932597907	0.403384395	0.58133806	0.083818359	0	0	0	0.276377334	0.122302013	0.159823823	0.108379835	0.103268603	0.115837124
CRISPLD1	4.395258191	3.571345987	1.365920163	9.165808792	14.71169575	11.49190738	13.50229523	7.384210472	7.791361697	5.458335151	7.056916502	1.672369693	4.40451781	0.314326087	0.266456545	1.844042949	9.824613214	3.646098605	0.418485011	0.130172739	0	0.039482476	0.3261387	3.436212195	0.325139505	0.13769147	0.086877843
ZFHX4	73.93452172	86.61415874	74.26292252	62.29505444	48.96236243	43.92159259	58.29039646	91.15556908	65.21030986	0.751147039	0.926220291	1.032934222	2.298009292	1.29659511	1.332282725	3.399954187	1.802147986	1.718276354	3.830747407	4.490959503	1.698488295	7.778047838	16.38846968	10.1088568	9.103906132	15.1804846	12.16289804
PEX2	37.28120787	22.11348576	31.30832794	18.16939088	18.52097412	18.48253353	30.07828367	21.47156346	23.8144664	42.81538123	29.50673212	34.92301418	15.84668908	17.4843886	16.74235291	28.06402863	19.30042359	18.02094713	23.75707216	7.58256206	10.88576589	5.882888974	10.15106704	10.34859254	12.49980763	11.97915792	8.687784315
PKIA	35.47601254	22.47422778	41.04949541	13.66759984	21.87051199	14.08355415	15.00255025	15.27026049	26.59225623	53.73205153	25.66953377	45.49829313	38.49165564	38.42636416	52.89162417	31.17585111	32.55493136	33.15016088	49.57437821	37.32703297	41.34274919	37.58731747	58.09345594	55.61869041	37.5716761	35.0424792	57.88960282
FAM164A	332.5091309	258.5077308	310.207658	199.0116095	184.0603899	200.8867251	183.5799868	197.2587875	221.3424232	177.4209306	117.5417655	155.0876954	127.3001397	91.07598377	104.8950599	123.2627459	176.203566	93.58319754	24.65842449	28.57291626	14.70736456	8.765109746	24.41963516	21.45634824	5.238358687	23.54524142	49.95475981
STMN2	721.6072109	565.3909662	721.8528606	663.2233238	618.2196077	691.4581778	817.7121718	723.5809349	597.0215589	0.300458816	0.264634369	0.344311407	0	0.039290761	0.177637697	0.172879026	0.87200709	0.083818359	0.193146928	0.06508637	0.11580602	0.197412382	0.040767338	0.039955956	0.144506447	0.206537205	0.028959281
HEY1	112.9031948	48.77232096	115.2045821	45.4234772	57.33620711	52.07163966	17.30782017	9.284031613	30.11530673	22.78479352	26.63985979	34.92301418	2.106508518	3.968366851	5.373540323	3.284701503	3.48802836	4.232827117	18.2523847	19.13539267	23.97184617	6.593573548	9.906463013	10.3885485	3.648787775	7.263225059	6.921268171
TPD52	62.08302195	45.88638481	57.04513942	60.99724081	59.96329563	44.53540367	75.37866711	52.44223262	37.09365677	72.86126279	69.68705045	63.40248631	59.26948966	56.30366037	56.31114983	43.39263564	52.20415779	53.51802206	13.7778142	33.03133258	13.31769231	12.12112023	17.57072246	13.06559753	9.06777952	12.56434667	12.0760202
